|filename                                                    | depth     | fanout    | filesize  | disk (blk)|
|./lib/aarch64-linux-gnu/gconv/SAMI-WS2.so                   | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-PT.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/INIS.so                       | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM939.so                     | 4         | 0         | 133128    | 132       |
|./lib/aarch64-linux-gnu/gconv/ECMA-CYRILLIC.so              | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/SHIFT_JISX0213.so             | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM437.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1143.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-DK-NO-A.so             | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM932.so                     | 4         | 0         | 133128    | 132       |
|./lib/aarch64-linux-gnu/gconv/IBM905.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1153.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/NATS-SEFI.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM866.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO_6937.so                   | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM922.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/GBK.so                        | 4         | 0         | 133128    | 132       |
|./lib/aarch64-linux-gnu/gconv/ISO8859-1.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/TCVN5712-1.so                 | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-FI-SE-A.so             | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1158.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM855.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM921.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/KOI8-U.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO-2022-JP-3.so              | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM038.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/ISO8859-7.so                  | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CSN_369103.so                 | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/CP770.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EBCDIC-ES-S.so                | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/TSCII.so                      | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1008.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM902.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM275.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1129.so                    | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM863.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM875.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/SJIS.so                       | 4         | 0         | 133128    | 132       |
|./lib/aarch64-linux-gnu/gconv/HP-THAI8.so                   | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/EUC-KR.so                     | 4         | 0         | 67592     | 68        |
|./lib/aarch64-linux-gnu/gconv/IBM1364.so                    | 4         | 0         | 198664    | 196       |
