|filename                                                    | depth     | fanout    | filesize  | disk (blk)|
|./lib/.build-id/49/b8381b7d232c39d2a2e670670b3565f7bf1cd7   | 4         | 0         | 33        | 0         |
|./lib/.build-id/dd                                          | 3         | 3         | NA        | NA        |
|./lib/.build-id/dd/3708cf9d0da5b7308ddb7d9f9aa7e200701fb8   | 4         | 0         | 32        | 0         |
|./lib/.build-id/dd/94b7ca554fad05d6568c9fe84e7800d1807338   | 4         | 0         | 24        | 0         |
|./lib/.build-id/dd/a6afb9ba45551cf3cdf7d4dac29258b4b95b27   | 4         | 0         | 24        | 0         |
|./lib/.build-id/6c                                          | 3         | 2         | NA        | NA        |
|./lib/.build-id/6c/49461d3d56b667c9003f7f9ea44c068db5ceb2   | 4         | 0         | 42        | 0         |
|./lib/.build-id/6c/467d4bba6f7e18f2b93b8ef9042df5a70470c4   | 4         | 0         | 43        | 0         |
|./lib/.build-id/5f                                          | 3         | 1         | NA        | NA        |
|./lib/.build-id/5f/63c6f259255571927c8cb6864f1b28da849223   | 4         | 0         | 47        | 0         |
|./lib/.build-id/a8                                          | 3         | 5         | NA        | NA        |
|./lib/.build-id/a8/9868887373ad124abdf1e008cbe67e6a2785e5   | 4         | 0         | 28        | 0         |
|./lib/.build-id/a8/1415161b3bc3c3633928593749b404b5cfaef1   | 4         | 0         | 26        | 0         |
|./lib/.build-id/a8/66c13dd7751a00a51f84fea236890a47ad8e65   | 4         | 0         | 35        | 0         |
|./lib/.build-id/a8/a9d1a2dc6165b794c299d59f2f1a4c2430922b   | 4         | 0         | 24        | 0         |
|./lib/.build-id/a8/f6b6e6a21238a24e7ac3dc365ed208de92fb35   | 4         | 0         | 37        | 0         |
|./lib/.build-id/8c                                          | 3         | 3         | NA        | NA        |
|./lib/.build-id/8c/50fef0551e41b28a3d2dadf5ad5e8f5436a78c   | 4         | 0         | 24        | 0         |
|./lib/.build-id/8c/f664f058dbac31d9feb605d63b5dfe3041a65c   | 4         | 0         | 43        | 0         |
|./lib/.build-id/8c/42c5ecf1d63f3d525e93c96f4b2addffe80886   | 4         | 0         | 25        | 0         |
|./lib/.build-id/d7                                          | 3         | 1         | NA        | NA        |
|./lib/.build-id/d7/daccb4226ccddcb6e72ae91456f6111b910e4b   | 4         | 0         | 23        | 0         |
|./lib/.build-id/68                                          | 3         | 1         | NA        | NA        |
|./lib/.build-id/68/66fbec0a495031cd784c74a3955a1f6502d583   | 4         | 0         | 39        | 0         |
|./lib/.build-id/61                                          | 3         | 1         | NA        | NA        |
|./lib/.build-id/61/5fb79fa3f3d9a8da26f606dbc9cf4800f1538d   | 4         | 0         | 45        | 0         |
|./lib/.build-id/9c                                          | 3         | 1         | NA        | NA        |
|./lib/.build-id/9c/a78bd90a2fc01c178d860fec613cf345f775c2   | 4         | 0         | 40        | 0         |
|./lib/.build-id/2d                                          | 3         | 2         | NA        | NA        |
|./lib/.build-id/2d/f5d8080ee8fab9530b415724fe0db474d7c85d   | 4         | 0         | 45        | 0         |
|./lib/.build-id/2d/a884c5dafbfb8b1208d50a9151616951998a3d   | 4         | 0         | 37        | 0         |
|./lib/.build-id/a6                                          | 3         | 2         | NA        | NA        |
|./lib/.build-id/a6/fc7f242a2b53f420de01b7cf8bcde53c29e2f2   | 4         | 0         | 22        | 0         |
|./lib/.build-id/a6/9bb1d0ca4f9b7c58045a6eeaabb59211eaed09   | 4         | 0         | 27        | 0         |
|./lib/.build-id/bf                                          | 3         | 3         | NA        | NA        |
|./lib/.build-id/bf/1553257e50ce60576e6564c784260f308ae80d   | 4         | 0         | 39        | 0         |
